LABELS
#use this template to change the leaf labels, or define/change the internal node names (displayed in mouseover popups)

#lines starting with a hash are comments and ignored during parsing

#=================================================================#
#                    MANDATORY SETTINGS                           #
#=================================================================#
#select the separator which is used to delimit the data below (TAB,SPACE or COMMA).This separator must be used throughout this file (except in the SEPARATOR line, which uses space).

SEPARATOR TAB
#SEPARATOR SPACE
#SEPARATOR COMMA

#Internal tree nodes can be specified using IDs directly, or using the 'last common ancestor' method described in iTOL help pages
#=================================================================#
#       Actual data follows after the "DATA" keyword              #
#=================================================================#
DATA
#NODE_ID,LABEL

#Examples
#defined a name for an internal node
BAOLMCJL	PRES09F02_bin.177
NGPMCCFE	PRES09F02_bin.178
EDLLHLIM	PRES09F02_bin.179
COHBCEMM	PRES09F02_bin.17
DGILEEOM	PRES09F02_bin.180
GENKGJCL	PRES09F02_bin.181
FJLJIELP	PRES09F02_bin.182
PMMKPGDN	PRES09F02_bin.183
OFOMDGEK	PRES09F02_bin.184
FIINCEKK	PRES09F02_bin.185
GFKIHHFL	PRES09F02_bin.186
HDNHJMLF	PRES09F02_bin.187
MMIJLKDJ	PRES09F02_bin.188
NJHHNNAI	PRES09F02_bin.189
BIMFLKKP	PRES09F02_bin.18
CAHLMFHG	PRES09F02_bin.190
CGIKADKE	PRES09F02_bin.191
BFKOIBLB	PRES09F02_bin.192
COKMOEPJ	PRES09F02_bin.193
CJHIOGDB	PRES09F02_bin.194
FGNDBBDH	PRES09F02_bin.195
PDCABNEA	PRES09F02_bin.196
BNBBJONK	PRES09F02_bin.197
BJEGHENI	PRES09F02_bin.198
HPJIOLEI	PRES09F02_bin.199
DPCBMBDO	PRES09F02_bin.19
ECGDDBDI	PRES09F02_bin.1
EFGCAFOI	PRES09F02_bin.200
PCPKFKIN	PRES09F02_bin.201
LPNNPMCN	PRES09F02_bin.202
IGJEPCEF	PRES09F02_bin.203
AOFPHBEF	PRES09F02_bin.204
JMMCPECO	PRES09F02_bin.20
LBNKOCKB	PRES09F02_bin.21
MIGAEGAI	PRES09F02_bin.22
PKKKFPBB	PRES09F02_bin.23
HGDPNAIE	PRES09F02_bin.24
GOGFBFHK	PRES09F02_bin.25
AMHBHPBK	PRES09F02_bin.26
PBBMNINM	PRES09F02_bin.27
FGIBBOAH	PRES09F02_bin.28
JJDJIHKF	PRES09F02_bin.29
DGKEKNPI	PRES09F02_bin.2
GFCLKBNK	PRES09F02_bin.30
DIEOMHNA	PRES09F02_bin.31
NBPBJLEF	PRES09F02_bin.32
IBLMCNKN	PRES09F02_bin.33
BLGOLNII	PRES09F02_bin.34
IKFLAKPM	PRES09F02_bin.35
NAONMKDJ	PRES09F02_bin.36
FHHEFOON	PRES09F02_bin.37
OLCBBMPF	PRES09F02_bin.38
HHMDIANI	PRES09F02_bin.39
NGBOPGEL	PRES09F02_bin.3
EDCPDNHK	PRES09F02_bin.40
CEGEKMOE	PRES09F02_bin.41
OKAHMGLO	PRES09F02_bin.42
CMDCEDDP	PRES09F02_bin.43
IJJDOFMJ	PRES09F02_bin.44
JALGCDCG	PRES09F02_bin.45
NDAANEKC	PRES09F02_bin.46
LPBLKNHP	PRES09F02_bin.47
BEOFLHEP	PRES09F02_bin.48
NJHDDFKP	PRES09F02_bin.49
ACLFMOML	PRES09F02_bin.4
DGIGCCIC	PRES09F02_bin.50
